src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
192.168.156.30,192.168.154.39,45152,110,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,110,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.155.253,192.168.159.255,137,137,17,14.402769565582275,1.3191907232483635,121.36554653884944,19,1748,92.0,92,92,0.0,0.7998960945341322,0,0,0,0,0,0,,0,0,19,0,1748,0,benign
192.168.155.209,255.255.255.255,17500,17500,17,0.0067119598388671875,595.9511224779767,104887.3975561239,4,704,176.0,176,176,0.0,0.0021391709645589194,0,0,0,0,0,0,,0,0,4,0,704,0,benign
192.168.155.209,192.168.159.255,17500,17500,17,1e-06,1000000.0,176000000.0,1,176,176.0,176,176,0,0,0,0,0,0,0,0,,0,0,1,0,176,0,benign
192.168.155.202,224.0.0.252,58093,5355,17,0.4169015884399414,4.797295226156518,321.41878015248665,2,134,67.0,67,67,0.0,0.4161717891693115,0,0,0,0,0,0,,0,0,2,0,134,0,benign
192.168.155.202,192.168.159.255,137,137,17,2.276251792907715,5.271824513170855,579.9006964487941,12,1320,110.0,110,110,0.0,0.20649220726706766,0,0,0,0,0,0,,0,0,12,0,1320,0,benign
192.168.156.30,192.168.154.39,45152,53,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,53,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.157.6,224.0.0.251,5353,5353,17,14.996924638748169,2.1337708077374935,172.83543542673698,32,2592,81.0,81,81,0.0,0.4837567190970144,0,0,0,0,0,0,,0,0,32,0,2592,0,benign
192.168.157.6,224.0.0.252,53500,5355,17,0.41843342781066895,4.779732848937088,358.4799636702816,2,150,75.0,75,75,0.0,0.41497111320495605,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.30,192.168.154.39,45152,1723,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,1723,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.155.253,224.0.0.252,51228,5355,17,0.4035673141479492,4.955802736955037,371.6852052716278,2,150,75.0,75,75,0.0,0.42018699645996094,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.30,192.168.154.39,45152,995,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
192.168.154.39,192.168.156.30,995,45152,6,1e-06,1000000.0,54000000.0,1,54,54.0,54,54,0,0,0,1,0,0,0,1,0,0,2,1,0,54,0,benign
192.168.157.6,224.0.0.252,59840,5355,17,0.4207031726837158,4.753945607877784,356.5459205908339,2,150,75.0,75,75,0.0,0.42120909690856934,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.157.6,224.0.0.252,49770,5355,17,0.4207143783569336,4.753818987149525,356.5364240362144,2,150,75.0,75,75,0.0,0.4216012954711914,0,0,0,0,0,0,,0,0,2,0,150,0,benign
192.168.156.30,192.168.154.39,45152,143,6,1e-06,1000000.0,60000000.0,1,60,60.0,60,60,0,0,1,0,0,0,0,0,1024,1,1,1,0,60,0,benign
